BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL,Month,Year,AQI_category
0.0,1.0,0.0,0.0,0.0,40.23076923076923,46.84615384615385,108.61538461538461,27.846153846153847,10.615384615384615,8.0,9.307692307692308,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,14.375,33.75,55.875,36.875,7.5,8.0,12.875,1.0,2.0,4,2,1
0.0,1.0,0.0,0.0,0.0,29.8,52.8,98.2,26.8,5.2,8.0,12.6,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,23.833333333333332,52.666666666666664,89.33333333333333,20.166666666666668,7.166666666666667,8.0,15.333333333333334,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,17.4,40.0,66.6,31.4,10.8,8.0,14.8,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,35.75,64.0,119.25,13.25,19.5,8.0,19.25,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,68.2,82.4,187.0,10.8,29.6,8.0,18.2,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,25.0,74.0,113.0,4.333333333333333,15.0,8.0,19.333333333333332,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,62.0,77.4,172.8,6.6,10.6,8.0,9.6,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,51.53333333333333,65.26666666666667,144.13333333333333,20.133333333333333,8.6,8.0,13.8,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,37.75,53.416666666666664,111.33333333333333,23.833333333333332,9.25,8.0,9.166666666666666,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,45.0,47.3125,116.375,36.1875,7.6875,8.0,10.75,1.0,2.0,4,2,1
0.0,1.0,0.0,0.0,0.0,34.55555555555556,37.666666666666664,90.66666666666667,36.666666666666664,5.777777777777778,8.0,8.11111111111111,1.0,2.0,4,2,1
0.0,1.0,0.0,0.0,0.0,19.2,39.8,69.2,30.2,3.8,8.0,16.4,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,25.25,61.0,99.75,19.75,4.75,8.0,17.5,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,13.0,32.0,52.0,32.0,7.5,8.0,18.0,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,38.333333333333336,48.333333333333336,106.66666666666667,12.333333333333334,4.0,8.0,16.333333333333332,1.0,2.0,4,2,0
0.0,1.0,0.0,0.0,0.0,15.0,38.57142857142857,61.42857142857143,41.142857142857146,4.285714285714286,8.0,12.0,1.0,2.0,4,2,1
0.0,1.0,0.0,0.0,0.0,27.363636363636363,47.36363636363637,89.36363636363636,40.72727272727273,6.181818181818182,8.0,14.181818181818182,1.0,2.0,4,2,1
0.0,1.0,0.0,0.0,0.0,7.0,24.875,35.625,58.625,9.875,8.0,9.5,1.0,2.0,4,2,1
0.0,1.0,0.0,0.0,0.0,45.54545454545455,64.9090909090909,134.8181818181818,28.545454545454547,9.090909090909092,8.0,15.272727272727273,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,25.0,44.0,82.0,43.0,5.0,8.0,22.0,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,36.6,57.1,113.3,25.3,5.5,8.0,14.9,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,43.1875,49.375,115.4375,30.5,7.4375,8.0,14.5625,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,38.0,62.7,120.8,25.1,7.4,8.0,14.0,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,43.25,63.75,129.875,20.625,13.25,8.0,15.875,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,29.25,60.5,105.0,8.25,5.25,8.0,16.5,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,82.4,66.8,193.2,6.0,13.0,8.0,17.8,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,33.333333333333336,64.0,114.66666666666667,35.333333333333336,12.666666666666666,8.0,17.666666666666668,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,49.5,71.5,147.75,4.75,8.0,8.0,19.25,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,16.25,61.25,86.75,12.75,7.0,8.0,16.5,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,68.5,65.83333333333333,170.66666666666666,7.0,16.5,8.0,14.666666666666666,1.0,2.0,3,2,0
